display_name,evidence,flags,method_id,original_names,outcome,semantic_activity_role,source_type,workflow_id
MEA assembly for PEFC ref MEA,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],CEA-Exp-mea-assembly-pefc-ref-mea,"[""MEA assembly for PEFC ref MEA""]",matched_graphml_workflow,Manufacturing,Manufacturing,mea-assembly-for-pefc-ref-mea
Roller mixer and zirconia beads for ref PEFC inks,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],CEA-Exp-roller-mixer-zirconia-beads-ref-pefc-inks,"[""Roller mixer and zirconia beads for ref PEFC inks""]",matched_graphml_workflow,Manufacturing,Manufacturing,roller-mixer-and-zirconia-beads-for-ref-pefc-inks
TEM and EDS analysis of CL,Identifier is absent from the immutable 120-workflow GraphML snapshot.,[],CEA-Exp-tem-eds-analysis-CL,"[""TEM and EDS analysis of CL""]",new_manual_workflow,Measurement,Experiment,manual-cea-exp-tem-eds-analysis-cl
TEM and EDS analysis of MEA,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],CEA-Exp-tem-eds-analysis-mea,"[""TEM and EDS analysis of MEA""]",matched_graphml_workflow,Measurement,Experiment,tem-and-eds-analysis-of-mea
CEA MEA model (Europium 2D),Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],CEA-Mod-europium-2d-mea-model,"[""CEA MEA model (Europium 2D)""]",matched_graphml_workflow,Process,Model,cea-mea-model-europium-2d
Fitting of the Europium model,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],CEA-Mod-europium-model-fitting,"[""Fitting of the Europium model""]",matched_graphml_workflow,Process,Model,fitting-of-the-europium-model
Modeling of Hydrophobic Treatment of GDL,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],CEA-Mod-hydrophobic-treatment-gdl-modeling,"[""Modeling of Hydrophobic Treatment of GDL""]",matched_graphml_workflow,Process,Model,modeling-of-hydrophobic-treatment-of-gdl
Simulation of single phase 3D apparent properties,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],CEA-Mod-simulation-3d-properties-single-phase,"[""Simulation of single phase 3D apparent properties""]",matched_graphml_workflow,Process,Model,simulation-of-single-phase-3d-apparent-properties
Simulation of two phase 3D apparent properties,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],CEA-Mod-simulation-3d-properties-two-phase,"[""Simulation of two phase 3D apparent properties""]",matched_graphml_workflow,Process,Model,simulation-of-two-phase-3d-apparent-properties
"Mechanical properties of catalyst layers, GDLs, and MEAs by small-punch and nanoindentation",Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],CIEMAT-Exp-NANOINDENTATION_layer,"[""Mechanical properties of catalyst layers, GDLs, and MEAs by small-punch and nanoindentation""]",matched_graphml_workflow,Measurement,Experiment,mechanical-properties-of-catalyst-layers-gdls-and-meas-by-small-punch-and-nanoindentation
Current modulated hydrogen flow-rate spectroscopy (CH2S),Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],CIEMAT-Exp-current-modulated-hydrogen-flow-rate-spectroscopy,"[""Current modulated hydrogen flow-rate spectroscopy (CH2S)""]",matched_graphml_workflow,Measurement,Experiment,current-modulated-hydrogen-flow-rate-spectroscopy-ch2s
CL protonic resistance,Identifier is absent from the immutable 120-workflow GraphML snapshot.,"[""experiment_source_type_curated_as_analysis_process""]",CIEMAT-Exp-effective-proton-conductivity,"[""CL protonic resistance""]",new_manual_workflow,Process,Experiment,manual-ciemat-exp-effective-proton-conductivity
Electrospray deposition of Catalyst Layers,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],CIEMAT-Exp-electrospray-deposition-catalyst-layers,"[""Electrospray deposition of Catalyst Layers""]",matched_graphml_workflow,Manufacturing,Manufacturing,electrospray-deposition-of-catalyst-layers
Ink preparation for deposition of catalytic layers,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],CIEMAT-Exp-ink-preparation-deposition-catalytic-layers,"[""Ink preparation for deposition of catalytic layers""]",matched_graphml_workflow,Manufacturing,Manufacturing,ink-preparation-for-deposition-of-catalytic-layers
Microscopy (SEM and optical) in MEA cross section,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],CIEMAT-Exp-microscopy-sem-optical-mea-cross-section,"[""Microscopy (SEM and optical) in MEA cross section""]",matched_graphml_workflow,Measurement,Experiment,microscopy-sem-and-optical-in-mea-cross-section
SEM and FIB (layer),Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],CIEMAT-Exp-sem-fib-layer,"[""SEM and FIB (layer)""]",matched_graphml_workflow,Measurement,Experiment,sem-and-fib-layer
SEM and FIB (powder),Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],CIEMAT-Exp-sem-fib-powder,"[""SEM and FIB (powder)""]",matched_graphml_workflow,Measurement,Experiment,sem-and-fib-powder
"Single cell test bench: polarization, EIS",Identifier is absent from the immutable 120-workflow GraphML snapshot.,[],CIEMAT-Exp-single-cell-polarization-eis,"[""Single cell test bench: polarization, EIS""]",new_manual_workflow,Measurement,Experiment,manual-ciemat-exp-single-cell-polarization-eis
Adsorbate Surface Diffusion on Electrocatalyst Support,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],CIEMAT-Mod-adsorbate-surface-diffusion-electrocatalyst-support,"[""Adsorbate Surface Diffusion on Electrocatalyst Support""]",matched_graphml_workflow,Process,Model,adsorbate-surface-diffusion-on-electrocatalyst-support
Ab-initio molecular dynamics (AIMD) of the solid-liquid interface at a Pt electrode,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],DTU-Mod-aimd-solid-liquid-pt-electrode,"[""Ab-initio molecular dynamics (AIMD) of the solid-liquid interface at a Pt electrode""]",matched_graphml_workflow,Process,Model,ab-initio-molecular-dynamics-aimd-of-the-solid-liquid-interface-at-a-pt-electrode
DFT onto idealized surfaces,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],DTU-Mod-dft-idealized-surfaces,"[""DFT onto idealized surfaces""]",matched_graphml_workflow,Process,Model,dft-onto-idealized-surfaces
Machine learning force fields,Identifier is absent from the immutable 120-workflow GraphML snapshot.,[],DTU-Mod-machine-learning-force-fields,"[""Machine learning force fields""]",new_manual_workflow,Process,Model,manual-dtu-mod-machine-learning-force-fields
Rheology,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],FZJ-IET-2-Exp-rheology,"[""Rheology""]",matched_graphml_workflow,Measurement,Experiment,rheology
IET composition to property model,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],FZJ-IET-3-Mod-composition-property,"[""IET composition to property model""]",matched_graphml_workflow,Process,Model,iet-composition-to-property-model
Diffusivities from tortuosities,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],FZJ-IET-3-Mod-diffusivities-tortuosities,"[""Diffusivities from tortuosities""]",matched_graphml_workflow,Process,Model,diffusivities-from-tortuosities
Hierarchical model for electrocatalytic reactions,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],FZJ-IET-3-Mod-hierarchical-electrocatalytic-reactions,"[""Hierarchical model for electrocatalytic reactions""]",matched_graphml_workflow,Process,Model,hierarchical-model-for-electrocatalytic-reactions
IET ink to composition model,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],FZJ-IET-3-Mod-ink-composition,"[""IET ink to composition model""]",matched_graphml_workflow,Process,Model,iet-ink-to-composition-model
IET 1D Performance model for MEA (fitting),Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],FZJ-IET-3-Mod-performance-model-mea-fitting,"[""IET 1D Performance model for MEA (fitting)""]",matched_graphml_workflow,Process,Model,iet-1d-performance-model-for-mea-fitting
IET 1D Performance model for MEA (prediction),Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],FZJ-IET-3-Mod-performance-model-mea-prediction,"[""IET 1D Performance model for MEA (prediction)""]",matched_graphml_workflow,Process,Model,iet-1d-performance-model-for-mea-prediction
Data extraction from existing PEWE measurements (U-i-t),Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],FZJ-IET-4-Exp-data-extraction-pewe-u-i-t,"[""Data extraction from existing PEWE measurements (U-i-t)""]",matched_graphml_workflow,Measurement,Experiment,data-extraction-from-existing-pewe-measurements-u-i-t
Sheet resistance measurement,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],FZJ-IET-4-Exp-sheet-resistance-measurement,"[""Sheet resistance measurement""]",matched_graphml_workflow,Measurement,Experiment,sheet-resistance-measurement
StarDist-TEM nanoparticle segmentation,Identifier is absent from the immutable 120-workflow GraphML snapshot.,[],FZJ-Mod-StarDist-TEMSeg,"[""StarDist-TEM nulloparticle segmentation"", ""StarDist-TEM nanoparticle segmentation""]",new_manual_workflow,Process,Model,manual-fzj-mod-stardist-temseg
StarPlatin-TEM nanoparticle segmentation,Identifier is absent from the immutable 120-workflow GraphML snapshot.,[],FZJ-Mod-StarPlatin-TEMSeg,"[""StarPlatin-TEM nanoparticle segmentation""]",new_manual_workflow,Process,Model,manual-fzj-mod-starplatin-temseg
Electrochemical cell testing,Identifier is absent from the immutable 120-workflow GraphML snapshot.,[],HTE-Exp-cell-testing,"[""Electrochemical cell testing""]",new_manual_workflow,Measurement,Experiment,manual-hte-exp-cell-testing
PEMFC 4-fold Cell Benchtop Test,Identifier is absent from the immutable 120-workflow GraphML snapshot.,"[""identifier_mod_token_conflicts_with_experiment_role""]",HTE-Mod-pemfc-4-fold-cell-benchtop-test,"[""PEMFC 4-fold Cell Benchtop Test""]",new_manual_workflow,Measurement,Experiment,manual-hte-mod-pemfc-4-fold-cell-benchtop-test
FIB measurements on GDL/MPL and catalyst materials.,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],HZB-Exp-fib-gdl-mpl-catalyst,"[""FIB measurements on GDL/MPL and catalyst materials.""]",matched_graphml_workflow,Measurement,Experiment,fib-measurements-on-gdl-or-mpl-and-catalyst-materials
LAB-CT measurements on GDL/MPL materials,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],HZB-Exp-lab-ct-gdl-mpl,"[""LAB-CT measurements on GDL/MPL materials""]",matched_graphml_workflow,Measurement,Experiment,lab-ct-measurements-on-gdl-or-mpl-materials
SEM and EDX,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],HZB-Exp-sem-edx,"[""SEM and EDX""]",matched_graphml_workflow,Measurement,Experiment,sem-and-edx
Synch-CT measurements on GDL/MPL materials.,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],HZB-Exp-synch-ct-gdl-mpl,"[""Synch-CT measurements on GDL/MPL materials.""]",matched_graphml_workflow,Measurement,Experiment,synch-ct-measurements-on-gdl-or-mpl-materials
Image classification of FIB tomography data,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],HZB-Mod-image-classification-fib-tomography,"[""Image classification of FIB tomography data""]",matched_graphml_workflow,Process,Model,image-classification-of-fib-tomography-data
Image classification on nm scale,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],HZB-Mod-image-classification-nm-scale,"[""Image classification on nm scale""]",matched_graphml_workflow,Process,Model,image-classification-on-nm-scale
Image classification on TEM data,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],HZB-Mod-image-classification-tem,"[""Image classification on TEM data""]",matched_graphml_workflow,Process,Model,image-classification-on-tem-data
Image classification of X-ray tomography data,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],HZB-Mod-image-classification-x-ray-tomography,"[""Image classification of X-ray tomography data""]",matched_graphml_workflow,Process,Model,image-classification-of-x-ray-tomography-data
Image parameter extraction 2D,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],HZB-Mod-image-parameter-extraction-2d,"[""Image parameter extraction 2D""]",matched_graphml_workflow,Process,Model,image-parameter-extraction-2d
Image FIB tomography dataparameter extraction 3D,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],HZB-Mod-image-parameter-extraction-3d-fib-tomography,"[""Image FIB tomography dataparameter extraction 3D""]",matched_graphml_workflow,Process,Model,image-fib-tomography-dataparameter-extraction-3d
Image TEM data parameter extraction 3D,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],HZB-Mod-image-parameter-extraction-3d-tem,"[""Image TEM data parameter extraction 3D""]",matched_graphml_workflow,Process,Model,image-tem-data-parameter-extraction-3d
Image X-ray tomography data parameter extraction 3D,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],HZB-Mod-image-parameter-extraction-3d-x-ray-tomography,"[""Image X-ray tomography data parameter extraction 3D""]",matched_graphml_workflow,Process,Model,image-x-ray-tomography-data-parameter-extraction-3d
AI-based generation of structural digital twins of multi-scale tomographies,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],HZB-Mod-structural-digital-twins-multi-scale-tomographies,"[""AI-based generation of structural digital twins of multi-scale tomographies""]",matched_graphml_workflow,Process,Model,ai-based-generation-of-structural-digital-twins-of-multi-scale-tomographies
Confocal Laser Scanning Microscope (CLSM) + fluorescent probes for local pH assessment in acidic media on model electrodes,Identifier is absent from the immutable 120-workflow GraphML snapshot.,[],ICPEES-CNRS-Unistra-Exp-clsm-acidic-supported-electrodes,"[""Confocal Laser Scanning Microscope (CLSM) + fluorescent probes for local pH assessment in acidic media on model electrodes""]",new_manual_workflow,Measurement,Experiment,manual-icpees-cnrs-unistra-exp-clsm-acidic-supported-electrodes
Confocal Laser Scanning Microscope (CLSM) + fluorescent probes for local pH assessment in acidic media on model /unsupported electrodes,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],ICPEES-CNRS-Unistra-Exp-clsm-acidic-unsupported-electrodes,"[""Confocal Laser Scanning Microscope (CLSM) + fluorescent probes for local pH assessment in acidic media on model /unsupported electrodes""]",matched_graphml_workflow,Measurement,Experiment,confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-acidic-med
Development of ratiometric fluorescent probes for local pH assessment in alkaline media,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],ICPEES-CNRS-Unistra-Exp-development-fluorescent-probes-alkaline,"[""Development of ratiometric fluorescent probes for local pH assessement in alkaline media""]",matched_graphml_workflow,Manufacturing,Manufacturing,development-of-ratiometric-fluorescent-probes-for-local-ph-assessement-in-alkaline-media
EIS on nanostructured electrodes,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],ICPEES-CNRS-Unistra-Exp-eis-nanostructured-electrodes,"[""EIS on nanostructured electrodes""]",matched_graphml_workflow,Measurement,Experiment,eis-on-nanostructured-electrodes
N2 Adsorption Ex-Situ PSD,Identifier is absent from the immutable 120-workflow GraphML snapshot.,[],ICPEES-CNRS-Unistra-Exp-n2-adsorption-ex-situ,"[""N2 Adsorption Ex-Situ PSD""]",new_manual_workflow,Measurement,Experiment,manual-icpees-cnrs-unistra-exp-n2-adsorption-ex-situ
RDE on nanostructured electrodes,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],ICPEES-CNRS-Unistra-Exp-rde-nanostructured-electrodes,"[""RDE on nanostructured electrodes""]",matched_graphml_workflow,Measurement,Experiment,rde-on-nanostructured-electrodes
Transparent Electrodes for CLSM applications,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],ICPEES-CNRS-Unistra-Exp-transparent-electrodes-clsm,"[""Transparent Electrodes for CLSM applications""]",matched_graphml_workflow,Manufacturing,Manufacturing,transparent-electrodes-for-clsm-applications
Transmission Line Model Fitting of CL EIS patterns for components distribution,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],ICPEES-CNRS-Unistra-Mod-transmission-line-model-fitting-cl-eis,"[""Transmission Line Model Fitting of CL EIS patterns for components distribution""]",matched_graphml_workflow,Process,Model,transmission-line-model-fitting-of-cl-eis-patterns-for-components-distribution
Dropcasted Ink on GC Tips,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],ICPEES-CNRS-Unistra-PSI-Exp-dropcasted-ink-gc-tips,"[""Dropcasted Ink on GC Tips""]",matched_graphml_workflow,Manufacturing,Manufacturing,dropcasted-ink-on-gc-tips
GDE Catalytic Layer Preparation,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],ICPEES-CNRS-Unistra-PSI-Exp-gde-catalytic-layer-preparation,"[""GDE Catalytic Layer Preparation""]",matched_graphml_workflow,Manufacturing,Manufacturing,gde-catalytic-layer-preparation
GDE cell for electrochemical studies,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],ICPEES-CNRS-Unistra-PSI-Exp-gde-cell-electrochemical-studies,"[""GDE cell for electrochemical studies""]",matched_graphml_workflow,Measurement,Experiment,gde-cell-for-electrochemical-studies
In Situ Fourier Transformed IR in ATR configuration,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],ICPEES-CNRS-Unistra-PSI-Exp-in-situ-ftir-atr-configuration,"[""In Situ Fourier Transformed IR in ATR configuration""]",matched_graphml_workflow,Measurement,Experiment,in-situ-fourier-transformed-ir-in-atr-configuration
In Situ Fourier Transformed IR in ATR configuration nanostructured,Identifier is absent from the immutable 120-workflow GraphML snapshot.,[],ICPEES-CNRS-Unistra-PSI-Exp-in-situ-ftir-atr-configuration-nanostructured,"[""In Situ Fourier Transformed IR in ATR configuration nanostructured""]",new_manual_workflow,Measurement,Experiment,manual-icpees-cnrs-unistra-psi-exp-in-situ-ftir-atr-configuration-nanostructured
Prism Preparation for ATR-FTIR,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],ICPEES-CNRS-Unistra-PSI-Exp-prism-preparation-atr-ftir,"[""Prism Preparation for ATR-FTIR""]",matched_graphml_workflow,Manufacturing,Manufacturing,prism-preparation-for-atr-ftir
Distribution of contact angles in CCL FIB-SEM image from ionomer reconstruction,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],INPT-Mod-distribution-contact-angles-ccl-fib-sem-image,"[""Distribution of contact angles in CCL FIB-SEM image from ionomer reconstruction""]",matched_graphml_workflow,Process,Model,distribution-of-contact-angles-in-ccl-fib-sem-image-from-ionomer-reconstruction
Ionomer reconstruction in CCL 3D images,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],INPT-Mod-ionomer-reconstruction-ccl-3d,"[""Ionomer reconstruction in CCL 3D images""]",matched_graphml_workflow,Process,Model,ionomer-reconstruction-in-ccl-3d-images
PEWE Large-Scale Durability Test,Identifier is absent from the immutable 120-workflow GraphML snapshot.,[],NEL-Exp-large-scale-durability-test,"[""PEWE Large-Scale Durability Test""]",new_manual_workflow,Measurement,Experiment,manual-nel-exp-large-scale-durability-test
OER/HER Catalyst Activity in Alkaline Conditions,Identifier is absent from the immutable 120-workflow GraphML snapshot.,[],NEL-Exp-oer-her-catalyst-activity-alkaline,"[""OER/HER Catalyst Activity in Alkaline Conditions""]",new_manual_workflow,Measurement,Experiment,manual-nel-exp-oer-her-catalyst-activity-alkaline
PEWE Single Cell Benchtop Test,Identifier is absent from the immutable 120-workflow GraphML snapshot.,[],NEL-Exp-pewe-single-cell-benchtop-test,"[""PEWE Single Cell Benchtop Test""]",new_manual_workflow,Measurement,Experiment,manual-nel-exp-pewe-single-cell-benchtop-test
Porous Transport Layer Bulk Resistance,Identifier is absent from the immutable 120-workflow GraphML snapshot.,[],NEL-Exp-ptl-bulk-resistance,"[""Porous Transport Layer Bulk Resistance""]",new_manual_workflow,Measurement,Experiment,manual-nel-exp-ptl-bulk-resistance
Measurement of PTL porosity and contact angle,Identifier is absent from the immutable 120-workflow GraphML snapshot.,[],NEL-Exp-ptl-porosity-contact-angle,"[""Measurement of PTL porosity and contact angle""]",new_manual_workflow,Measurement,Experiment,manual-nel-exp-ptl-porosity-contact-angle
Determination of CL saturation by SAXS/SANS,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],PSI-Exp-cl-saturation-determination-saxs-sans,"[""Determination of CL saturation by SAXS/SANS""]",matched_graphml_workflow,Measurement,Experiment,determination-of-cl-saturation-by-saxs-or-sans
Contact angle extraction of CT data,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],PSI-Exp-contact-angle-extraction-ct-data,"[""Contact angle extraction of CT data""]",matched_graphml_workflow,Measurement,Experiment,contact-angle-extraction-of-ct-data
CT-based capillary pressure saturation curves,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],PSI-Exp-ct-based-capillary-pressure-saturation,"[""CT-based capillary pressure saturation curves""]",matched_graphml_workflow,Measurement,Experiment,ct-based-capillary-pressure-saturation-curves
Development of a zero gap cell for GDE based spectroscopy measurement,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],PSI-Exp-development-zero-gap-cell-gde-based-spectroscopy,"[""Development of a zero gap cell for GDE based spectrocopy measurement""]",matched_graphml_workflow,Measurement,Experiment,development-of-a-zero-gap-cell-for-gde-based-spectrocopy-measurement
External contact angle of a GDL,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],PSI-Exp-external-contact-angle-gdl,"[""External contact angle of a GDL""]",matched_graphml_workflow,Measurement,Experiment,external-contact-angle-of-a-gdl
Hg porosimetry GDL,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],PSI-Exp-hg-porosimetry-gdl,"[""Hg porosimetry GDL""]",matched_graphml_workflow,Measurement,Experiment,hg-porosimetry-gdl
MPL saturation determination from X-ray CT-data,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],PSI-Exp-mpl-saturation-determination-x-ray-ct,"[""MPL saturation determination from X-ray CT-data""]",matched_graphml_workflow,Measurement,Experiment,mpl-saturation-determination-from-x-ray-ct-data
Pulsed gas analysis,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],PSI-Exp-pulsed-gas-analysis,"[""Pulsed gas analysis""]",matched_graphml_workflow,Measurement,Experiment,pulsed-gas-analysis
Wilhelmy wettability measurement,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],PSI-Exp-wilhelmy-wettability-measurement,"[""Wilhelmy wettability measurement""]",matched_graphml_workflow,Measurement,Experiment,wilhelmy-wettability-measurement
Voxel based 3D Effective Diffusivity simulation,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],PSI-Mod-voxel-3d-diffusivity-simulation,"[""Voxel based 3D Effective Diffusivity simulation""]",matched_graphml_workflow,Process,Model,voxel-based-3d-effective-diffusivity-simulation
Voxel based 3D Electric conductiviy simulation,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],PSI-Mod-voxel-3d-electric-conductivity-simulation,"[""Voxel based 3D Electric conductiviy simulation""]",matched_graphml_workflow,Process,Model,voxel-based-3d-electric-conductiviy-simulation
Voxel based 3D Permability simulation,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],PSI-Mod-voxel-3d-permability-simulation,"[""Voxel based 3D Permability simulation""]",matched_graphml_workflow,Process,Model,voxel-based-3d-permability-simulation
Voxel based 3D Thermal conductivity simulation,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],PSI-Mod-voxel-3d-thermal-conductivity-simulation,"[""Voxel based 3D Thermal conductivity simulation""]",matched_graphml_workflow,Process,Model,voxel-based-3d-thermal-conductivity-simulation
Water retention curve simulation,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],PSI-Mod-water-retention-simulation,"[""Water retention curve simulation""]",matched_graphml_workflow,Process,Model,water-retention-curve-simulation
RDE on mono- or polycrystalline electrodes,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],ULEI-Exp-rde-mono-polycrystalline-electrodes,"[""RDE on mono- or polycrystalline electrodes""]",matched_graphml_workflow,Measurement,Experiment,rde-on-mono-or-polycrystalline-electrodes
Fitting Version of the Hierarchical Model,Method name or reviewed spelling/truncation override identifies the preserved GraphML workflow.,[],ULEI-FZJ-IET-3-Mod-fitting-version-hierachical-model,"[""Fitting Version of the Hierachical Model""]",matched_graphml_workflow,Process,Model,fitting-version-of-the-hierachical-model
